Summe;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
0;28;28;28;28;28;28;28;28;28;24;24;24;24;24;24;24;24;24;24;27;27;27;27;27;27;27;27;27;27;25;25;25;25;25;25;25;25;25;25;21;21;21;21;21;21;21;21;21;21;24;24;24;24;24;24;24;24;24;24
1;28;28;28;28;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;27;27;27;27;27;27;27;27;27;27;29;29;29;29;29;29;29;29;29;29;25;25;25;25;25;25;25;25;25;25;24;24;24;24;24;24;24;24;24;24
2;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;30;30;30;30;30;30;30;30;30;30;31;31;31;31;31;31;31;31;31;31;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29
3;32;32;32;32;32;32;32;32;32;31;31;31;31;31;31;31;31;31;31;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
4;32;32;32;32;32;32;32;32;32;33;33;33;33;33;33;33;33;33;33;36;36;36;36;36;36;36;36;36;36;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34
5;33;33;33;33;33;33;33;33;33;35;35;35;35;35;35;35;35;35;35;37;37;37;37;37;37;37;37;37;37;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
6;34;34;34;34;34;34;34;34;34;37;37;37;37;37;37;37;37;37;37;38;38;38;38;38;38;38;38;38;38;37;37;37;37;37;37;37;37;37;37;38;38;38;38;38;38;38;38;38;38;37;37;37;37;37;37;37;37;37;37
7;34;34;34;34;34;34;34;34;34;38;38;38;38;38;38;38;38;38;38;39;39;39;39;39;39;39;39;39;39;38;38;38;38;38;38;38;38;38;38;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
8;36;36;36;36;36;36;36;36;36;40;40;40;40;40;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;40;40;40;40;40;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;40;40;40;40;40;40;40;40;40;40
9;38;38;38;38;38;38;38;38;38;41;41;41;41;41;41;41;41;41;41;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41;41;41;41;41;41;41;41;41;41
10;39;39;39;39;39;39;39;39;39;42;42;42;42;42;42;42;42;42;42;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;42;42;42;42;42;42;42;42;42;42
11;40;40;40;40;40;40;40;40;40;43;43;43;43;43;43;43;43;43;43;44;44;44;44;44;44;44;44;44;44;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43
12;40;40;40;40;40;40;40;40;40;44;44;44;44;44;44;44;44;44;44;45;45;45;45;45;45;45;45;45;45;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
13;40;40;40;40;40;40;40;40;40;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;44;44;44;44;44;44;44;44;44;44;45;45;45;45;45;45;45;45;45;45;44;44;44;44;44;44;44;44;44;44
14;41;41;41;41;41;41;41;41;41;46;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47;45;45;45;45;45;45;45;45;45;45;46;46;46;46;46;46;46;46;46;46;45;45;45;45;45;45;45;45;45;45
15;42;42;42;42;42;42;42;42;42;46;46;46;46;46;46;46;46;46;46;48;48;48;48;48;48;48;48;48;48;46;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47;45;45;45;45;45;45;45;45;45;45
16;43;43;43;43;43;43;43;43;43;47;47;47;47;47;47;47;47;47;47;49;49;49;49;49;49;49;49;49;49;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;46;46;46;46;46;46;46;46;46
17;43;43;43;43;43;43;43;43;43;47;47;47;47;47;47;47;47;47;47;49;49;49;49;49;49;49;49;49;49;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47
18;43;43;43;43;43;43;43;43;43;48;48;48;48;48;48;48;48;48;48;50;50;50;50;50;50;50;50;50;50;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
19;43;43;43;43;43;43;43;43;43;48;48;48;48;48;48;48;48;48;48;50;50;50;50;50;50;50;50;50;50;49;49;49;49;49;49;49;49;49;49;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
20;44;44;44;44;44;44;44;44;44;49;49;49;49;49;49;49;49;49;49;51;51;51;51;51;51;51;51;51;51;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
21;44;44;44;44;44;44;44;44;44;50;50;50;50;50;50;50;50;50;50;51;51;51;51;51;51;51;51;51;51;50;50;50;50;50;50;50;50;50;50;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
