Summe;M;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
0;0,00;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;41;41;41;41;41;41;41;41;41;41;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
1;0,17;44;44;44;44;44;44;44;44;44;46;46;46;46;46;46;46;46;46;46;49;49;49;49;49;49;49;49;49;49;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;48;48;48;48;48;48;48;48;48;48
2;0,33;47;47;47;47;47;47;47;47;47;52;52;52;52;52;52;52;52;52;52;53;53;53;53;53;53;53;53;53;53;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;52;52;52;52;52;52;52;52;52;52
3;0,50;49;49;49;49;49;49;49;49;49;55;55;55;55;55;55;55;55;55;55;56;56;56;56;56;56;56;56;56;56;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;55;55;55;55;55;55;55;55;55;55
4;0,67;51;51;51;51;51;51;51;51;51;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;56;56;56;56;56;56;56;56;56;56;58;58;58;58;58;58;58;58;58;58
5;0,83;53;53;53;53;53;53;53;53;53;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;59;61;61;61;61;61;61;61;61;61;61
6;1,00;55;55;55;55;55;55;55;55;55;62;62;62;62;62;62;62;62;62;62;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;61;61;61;61;61;61;61;61;61;61;62;62;62;62;62;62;62;62;62;62
7;1,17;57;57;57;57;57;57;57;57;57;66;66;66;66;66;66;66;66;66;66;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;62;64;64;64;64;64;64;64;64;64;64
8;1,33;59;59;59;59;59;59;59;59;59;68;68;68;68;68;68;68;68;68;68;64;64;64;64;64;64;64;64;64;64;63;63;63;63;63;63;63;63;63;63;64;64;64;64;64;64;64;64;64;64;66;66;66;66;66;66;66;66;66;66
9;1,50;62;62;62;62;62;62;62;62;62;68;68;68;68;68;68;68;68;68;68;66;66;66;66;66;66;66;66;66;66;64;64;64;64;64;64;64;64;64;64;65;65;65;65;65;65;65;65;65;65;68;68;68;68;68;68;68;68;68;68
10;1,67;64;64;64;64;64;64;64;64;64;69;69;69;69;69;69;69;69;69;69;67;67;67;67;67;67;67;67;67;67;65;65;65;65;65;65;65;65;65;65;66;66;66;66;66;66;66;66;66;66;69;69;69;69;69;69;69;69;69;69
11;1,83;64;64;64;64;64;64;64;64;64;70;70;70;70;70;70;70;70;70;70;68;68;68;68;68;68;68;68;68;68;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;70;70;70;70;70;70;70;70;70;70
12;2,00;65;65;65;65;65;65;65;65;65;71;71;71;71;71;71;71;71;71;71;68;68;68;68;68;68;68;68;68;68;69;69;69;69;69;69;69;69;69;69;68;68;68;68;68;68;68;68;68;68;72;72;72;72;72;72;72;72;72;72
13;2,17;69;69;69;69;69;69;69;69;69;73;73;73;73;73;73;73;73;73;73;70;70;70;70;70;70;70;70;70;70;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;76;76;76;76;76;76;76;76;76;76
14;2,33;80;80;80;80;80;80;80;80;80;75;75;75;75;75;75;75;75;75;75;72;72;72;72;72;72;72;72;72;72;73;73;73;73;73;73;73;73;73;73;75;75;75;75;75;75;75;75;75;75;80;80;80;80;80;80;80;80;80;80
15;2,50;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;76;76;76;76;76;76;76;76;76;76;80;80;80;80;80;80;80;80;80;80
16;2,67;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;76;76;76;76;76;76;76;76;76;76;75;75;75;75;75;75;75;75;75;75;76;76;76;76;76;76;76;76;76;76;80;80;80;80;80;80;80;80;80;80
17;2,83;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;78;78;78;78;78;78;78;78;78;78;76;76;76;76;76;76;76;76;76;76;80;80;80;80;80;80;80;80;80;80
18;3,00;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;76;76;76;76;76;76;76;76;76;76;80;80;80;80;80;80;80;80;80;80
19;3,17;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;79;79;79;79;79;79;79;79;79;79;80;80;80;80;80;80;80;80;80;80
20;3,33;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
21;3,50;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
22;3,67;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
23;3,83;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
24;4,00;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
