Summe;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74
0;28;28;28;28;28;28;28;28;28;27;27;27;27;27;27;27;27;27;27;28;28;28;28;28;28;28;28;28;28;29;29;29;29;29;29;29;29;29;29;27;27;27;27;27;27;27;27;27;27;25;25;25;25;25;25;25;25;25;25
1;28;28;28;28;28;28;28;28;28;31;31;31;31;31;31;31;31;31;31;30;30;30;30;30;30;30;30;30;30;33;33;33;33;33;33;33;33;33;33;32;32;32;32;32;32;32;32;32;32;30;30;30;30;30;30;30;30;30;30
2;28;28;28;28;28;28;28;28;28;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;32;32;32;32;32;32;32;32;32;32
3;28;28;28;28;28;28;28;28;28;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;36;36;36;36;36;36;36;36;36;36;35;35;35;35;35;35;35;35;35;35;34;34;34;34;34;34;34;34;34;34
4;33;33;33;33;33;33;33;33;33;38;38;38;38;38;38;38;38;38;38;39;39;39;39;39;39;39;39;39;39;38;38;38;38;38;38;38;38;38;38;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36
5;36;36;36;36;36;36;36;36;36;39;39;39;39;39;39;39;39;39;39;40;40;40;40;40;40;40;40;40;40;39;39;39;39;39;39;39;39;39;39;38;38;38;38;38;38;38;38;38;38;37;37;37;37;37;37;37;37;37;37
6;37;37;37;37;37;37;37;37;37;40;40;40;40;40;40;40;40;40;40;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;39;39;39;39;39;39;39;39;39;39;38;38;38;38;38;38;38;38;38;38
7;38;38;38;38;38;38;38;38;38;41;41;41;41;41;41;41;41;41;41;43;43;43;43;43;43;43;43;43;43;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;40;40;40;40;40;40;40;40;40;40
8;39;39;39;39;39;39;39;39;39;42;42;42;42;42;42;42;42;42;42;43;43;43;43;43;43;43;43;43;43;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41;41;41;41;41;41;41;41;41;41
9;39;39;39;39;39;39;39;39;39;43;43;43;43;43;43;43;43;43;43;44;44;44;44;44;44;44;44;44;44;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;42;42;42;42;42;42;42;42;42;42
10;40;40;40;40;40;40;40;40;40;44;44;44;44;44;44;44;44;44;44;45;45;45;45;45;45;45;45;45;45;44;44;44;44;44;44;44;44;44;44;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43
11;40;40;40;40;40;40;40;40;40;44;44;44;44;44;44;44;44;44;44;46;46;46;46;46;46;46;46;46;46;45;45;45;45;45;45;45;45;45;45;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44
12;40;40;40;40;40;40;40;40;40;44;44;44;44;44;44;44;44;44;44;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;46;45;45;45;45;45;45;45;45;45;45;46;46;46;46;46;46;46;46;46;46
13;42;42;42;42;42;42;42;42;42;45;45;45;45;45;45;45;45;45;45;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;46;46;46;46;46;46;46;46;46;47;47;47;47;47;47;47;47;47;47
14;44;44;44;44;44;44;44;44;44;45;45;45;45;45;45;45;45;45;45;48;48;48;48;48;48;48;48;48;48;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;48;48;48;48;48;48;48;48;48;48
15;44;44;44;44;44;44;44;44;44;46;46;46;46;46;46;46;46;46;46;49;49;49;49;49;49;49;49;49;49;48;48;48;48;48;48;48;48;48;48;47;47;47;47;47;47;47;47;47;47;49;49;49;49;49;49;49;49;49;49
16;44;44;44;44;44;44;44;44;44;46;46;46;46;46;46;46;46;46;46;50;50;50;50;50;50;50;50;50;50;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;49;49;49;49;49;49;49;49;49;49
